task_id,method_id,resolution,precision_class,platform,clean_runtime_ms_median,peak_process_gpu_memory_mib_median,power_energy_per_match_j_median,clean_runtime_status,memory_status,power_status,oom_status,power_scope,clean_runtime_valid_pair_count,memory_valid_pair_count,power_valid_pair_count
rubik_vis_vis_reference,dkm,128,fp32,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
rubik_vis_vis_reference,dkm,128,mp,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
rubik_vis_vis_reference,dkm,256,fp32,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
rubik_vis_vis_reference,dkm,256,mp,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
rubik_vis_vis_reference,dkm,512,fp32,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
rubik_vis_vis_reference,dkm,512,mp,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
rubik_vis_vis_reference,dkm,1024,fp32,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
rubik_vis_vis_reference,dkm,1024,mp,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
rubik_vis_vis_reference,efficientloftr,128,fp16,orin,111.1972155,422.0347318649292,0.2616276324492075,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,efficientloftr,128,fp32,orin,100.2910805,712.6737337112427,0.3366154618650566,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,efficientloftr,128,mp,orin,122.0281055,710.0338106155396,0.302584911923234,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,efficientloftr,256,fp16,orin,115.8330015,678.0347623825073,0.4906412017064218,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,efficientloftr,256,fp32,orin,121.992002,988.6737337112428,0.7757695333341277,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,efficientloftr,256,mp,orin,130.9508015,972.0338411331176,0.5403521640306534,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,efficientloftr,512,fp16,orin,199.797754,1700.034762382507,1.3766458994373885,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,efficientloftr,512,fp32,orin,277.1650065,2162.033749580384,2.4949414777454546,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,efficientloftr,512,mp,orin,218.028292,2068.03381061554,1.4589959009954645,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,efficientloftr,1024,fp16,orin,781.2384225,4396.034762382507,5.563602047496,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,efficientloftr,1024,fp32,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
rubik_vis_vis_reference,efficientloftr,1024,mp,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
rubik_vis_vis_reference,loftr,128,fp16,orin,70.54999649999999,184.03806018829343,0.226126422071518,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,loftr,128,fp32,orin,67.529072,244.67697048187256,0.3938158611714857,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,loftr,128,mp,orin,83.73995099999999,226.03710842132568,0.2645573047737313,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,loftr,256,fp16,orin,72.477816,418.0380601882935,0.4341961493953344,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,loftr,256,fp32,orin,103.8649995,428.6769399642944,0.96461591408,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,loftr,256,mp,orin,83.77345700000001,474.0371084213257,0.4960913488501006,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,loftr,512,fp16,orin,153.8706895,1432.0380601882937,1.3252840371692307,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,loftr,512,fp32,orin,360.0556495,1384.0369863510132,3.5273146493035554,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,loftr,512,mp,orin,171.2485165,1414.0371084213257,1.4625421285431366,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,loftr,1024,fp16,orin,652.3480145000001,4654.0380601882935,5.341568965568,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,loftr,1024,fp32,orin,1468.327565,4286.037016868591,13.8337452967808,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,loftr,1024,mp,orin,709.404818,3730.0371084213257,5.938501745408,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,mast3r,128,fp32,orin,203.2964295,2836.163827896118,1.9452203526762668,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,mast3r,128,mp,orin,218.99291,2836.1638584136963,1.2976792731282965,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,mast3r,256,fp32,orin,500.5073215,3418.16379737854,5.383037662789333,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,mast3r,256,mp,orin,366.7834995,3444.1638584136963,2.8607964513960003,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,mast3r,512,fp32,orin,2388.727675,4198.196764945984,22.9889464482432,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,mast3r,512,mp,orin,1628.5380435000002,3838.19682598114,12.046275888768,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,mast3r,1024,fp32,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
rubik_vis_vis_reference,mast3r,1024,mp,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
